cluster.index,componentindex,merge
801,-1,X219_3.2
29980,483,X219_5.6
3614,-1,X219.9_1.2
5937,-1,X219.9_1.4
2841,-1,X220.2_3.3
3544,-1,X220.8_0.7
20643,-1,X220.9_2.1
8504,-1,X221_3.4
6164,-1,X221_4
22154,281,X221.1_3.5
1175,-1,X221.9_0.5
1191,-1,X221.9_1.9
13463,-1,X221.9_2.4
1510,245,X222_0.8
1072,1793,X222_2
13443,-1,X222_3.1
1587,-1,X222_3.4
21633,217,X222.4_3.3
7492,-1,X222.6_0.5
13543,1793,X222.7_1.9
3010,773,X222.7_9.7
1467,-1,X222.9_2.7
1615,-1,X222.9_3
10149,-1,X223_3.3
7685,685,X223_4.3
13603,-1,X223.3_9.8
13594,773,X223.8_9.8
13335,619,X223.9_3
12191,-1,X224.9_1.7
15707,-1,X225_4.4
11164,463,X225.5_2.6
8827,-1,X225.7_3.5
19476,-1,X226.8_0.5
6290,-1,X226.8_0.8
12073,1447,X226.9_1.7
5935,67,X226.9_1.8
12096,1647,X227_2.1
6815,1352,X227_2.4
6198,-1,X227_3.4
26288,-1,X227_3.8
7678,-1,X227.8_2.8
13992,524,X228.2_2.2
21627,-1,X229.9_0.9
16652,1545,X229.9_1.3
21429,-1,X229.9_2.5
21106,-1,X230_0.7
6758,-1,X230.1_2.8
8541,-1,X230.9_0.6
4523,561,X231_0.9
3645,-1,X231_2.4
5662,5,X231_2.8
4486,-1,X231_3.1
4214,1465,X231_3.3
12107,561,X231.1_1.2
24419,631,X231.9_1.5
20797,-1,X231.9_1.9
9092,631,X232_1.2
5911,631,X232_1.4
10981,5,X232_2.8
3286,-1,X232.9_0.7
768,5,X232.9_2.9
3327,103,X233_4.4
7709,-1,X233_4.7
16746,1028,X234.9_1.2
11631,772,X235_2.4
11607,-1,X235.9_0.7
3861,1832,X235.9_0.9
4701,85,X236.9_3.7
6349,271,X237_2.1
4376,-1,X237_2.2
3082,-1,X237_2.8
791,-1,X237_3
15407,-1,X237_3.2
3826,412,X237_3.4
22183,85,X237_3.5
715,329,X237_4
28189,-1,X237.9_0.5
24357,1316,X237.9_10.4
6360,620,X238.1_1.9
13599,1316,X238.7_10.3
8364,1316,X238.9_0.5
1643,620,X238.9_1.4
1391,982,X238.9_1.7
20300,982,X238.9_1.9
13567,982,X238.9_2.4
1383,-1,X238.9_2.5
1412,620,X238.9_2.8
1033,-1,X239_2.1
5695,1196,X239_3.5
18783,158,X239_3.9
1425,1196,X239_4.5
17908,-1,X239.1_2.7
4871,1196,X239.1_3.3
21472,596,X239.9_1.1
11643,982,X239.9_2.6
6356,-1,X240_0.9
7581,271,X240_3.3
24434,-1,X240.3_3
3598,9,X240.9_0.9
3969,576,X240.9_2.2
3884,-1,X240.9_3
6415,-1,X240.9_3.6
5326,-1,X241_2
3789,1135,X241_3.2
2704,-1,X241_4
6354,-1,X241_4.4
16613,-1,X241.9_2.5
10820,2373,X242.1_3.3
17470,1949,X242.9_1.6
10843,1949,X242.9_1.7
17438,-1,X242.9_1.9
17474,-1,X242.9_2.3
10803,59,X243_0.5
10489,59,X243_0.9
5663,-1,X243_2.4
5848,-1,X243_3
5789,2373,X243_3.3
23407,-1,X243.8_1.5
27874,-1,X243.8_2.3
23988,-1,X243.9_1.9
11670,-1,X244.2_0.8
7546,-1,X244.9_0.7
28199,769,X245_1.4
12129,561,X245_1.8
7608,-1,X245_2.9
5526,-1,X245_3
13127,-1,X245_3.2
694,910,X245_3.4
7560,1291,X245_3.7
5574,-1,X245_4.1
6463,1791,X245_4.6
6591,2290,X245.3_4.2
8432,-1,X245.8_3.4
8919,-1,X245.9_2.5
11715,-1,X246_0.6
11112,933,X246_2.9
14929,-1,X246_3.6
4219,96,X246.9_1.4
6194,-1,X246.9_2.7
6744,-1,X247_1.7
4203,281,X247_2
5887,-1,X247_3.7
3749,1291,X247_5
11460,-1,X247.5_2.2
5971,-1,X247.9_1.5
3712,1225,X247.9_2.7
3787,1213,X248_1.2
